               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.032393,          0.00084218,                   0,           0.0041102,             0.17548,            0.033548,            0.010769,            0.028554,          0.00067629,                   0,            0.068335,           0.0016666,           0.0016666
                   1,            0.028045,          0.00075975,                   0,            0.012426,              0.2679,            0.056167,            0.018277,            0.026849,          0.00065711,                   0,            0.036635,           0.0033002,           0.0033002
                   2,            0.027838,           0.0006984,                   0,            0.015395,             0.29081,            0.065649,            0.021534,            0.026667,          0.00063803,                   0,           0.0049027,           0.0049009,           0.0049009
                   3,            0.027668,          0.00068774,                   0,            0.034661,             0.24993,            0.078502,            0.024661,             0.02755,          0.00060362,                   0,           0.0048515,           0.0048515,           0.0048515
                   4,            0.027052,          0.00072173,                   0,            0.035384,             0.24967,            0.076231,            0.023962,             0.02786,          0.00059024,                   0,           0.0048515,           0.0048515,           0.0048515
                   5,            0.026223,          0.00070573,                   0,            0.028292,             0.27675,             0.07658,            0.025211,            0.027727,          0.00058722,                   0,            0.004802,            0.004802,            0.004802
                   6,            0.025992,          0.00072421,                   0,            0.023504,               0.302,            0.077956,            0.025226,            0.027483,           0.0005879,                   0,           0.0047525,           0.0047525,           0.0047525
                   7,            0.025827,          0.00071589,                   0,            0.018389,             0.33845,            0.082298,            0.025281,            0.027101,          0.00059164,                   0,            0.004703,            0.004703,            0.004703
                   8,            0.025488,          0.00072399,                   0,            0.014901,             0.36553,            0.082186,            0.025795,            0.026719,          0.00059553,                   0,           0.0046535,           0.0046535,           0.0046535
                   9,            0.025324,          0.00071534,                   0,            0.013302,             0.39573,            0.087657,            0.027554,            0.026308,          0.00059983,                   0,            0.004604,            0.004604,            0.004604
                  10,            0.025462,          0.00071366,                   0,            0.011629,             0.41135,            0.086491,            0.027362,            0.025979,          0.00060213,                   0,           0.0045545,           0.0045545,           0.0045545
                  11,            0.025334,          0.00071301,                   0,            0.010067,             0.42098,             0.08352,             0.02676,            0.025737,          0.00060358,                   0,            0.004505,            0.004505,            0.004505
                  12,            0.025169,          0.00070268,                   0,           0.0096561,             0.42541,            0.081723,            0.026672,            0.025654,          0.00060174,                   0,           0.0044555,           0.0044555,           0.0044555
                  13,            0.025278,          0.00070446,                   0,           0.0099793,              0.4314,            0.080604,            0.026635,            0.025753,          0.00059716,                   0,            0.004406,            0.004406,            0.004406
                  14,            0.025441,          0.00071154,                   0,           0.0098961,             0.43582,            0.078848,            0.025956,            0.025657,           0.0005958,                   0,           0.0043565,           0.0043565,           0.0043565
                  15,            0.025175,          0.00070785,                   0,             0.00882,             0.45301,            0.079928,            0.026922,            0.025376,          0.00059761,                   0,            0.004307,            0.004307,            0.004307
                  16,            0.024975,          0.00069383,                   0,           0.0080602,              0.4629,              0.0828,            0.027732,            0.025195,          0.00059804,                   0,           0.0042575,           0.0042575,           0.0042575
                  17,            0.025228,           0.0006936,                   0,           0.0075964,             0.47722,            0.086348,            0.028848,            0.025025,           0.0005971,                   0,            0.004208,            0.004208,            0.004208
                  18,            0.025125,          0.00070001,                   0,           0.0067007,             0.48659,            0.086229,            0.028725,            0.024877,          0.00059677,                   0,           0.0041585,           0.0041585,           0.0041585
                  19,            0.024734,          0.00069612,                   0,           0.0060461,             0.49727,            0.086698,            0.029207,            0.024777,          0.00059576,                   0,            0.004109,            0.004109,            0.004109
                  20,            0.025477,           0.0007125,                   0,           0.0055157,             0.50247,            0.087196,            0.029752,            0.024697,          0.00059465,                   0,           0.0040595,           0.0040595,           0.0040595
                  21,            0.024856,          0.00069843,                   0,           0.0051779,              0.5056,            0.090258,            0.031075,            0.024622,          0.00059375,                   0,             0.00401,             0.00401,             0.00401
                  22,            0.025014,          0.00070383,                   0,           0.0049564,             0.50456,            0.090278,            0.032399,            0.024593,          0.00059131,                   0,           0.0039605,           0.0039605,           0.0039605
                  23,            0.024654,          0.00069634,                   0,           0.0048915,             0.50482,            0.091418,            0.033164,            0.024574,          0.00058845,                   0,            0.003911,            0.003911,            0.003911
                  24,             0.02492,          0.00068845,                   0,           0.0049989,             0.50742,            0.093811,            0.033834,            0.024499,          0.00058559,                   0,           0.0038615,           0.0038615,           0.0038615
                  25,            0.024897,          0.00068288,                   0,           0.0047964,             0.51393,            0.093947,            0.033229,            0.024446,          0.00058396,                   0,            0.003812,            0.003812,            0.003812
                  26,            0.025171,          0.00069407,                   0,           0.0046678,             0.52382,            0.094351,            0.033359,            0.024352,          0.00058283,                   0,           0.0037625,           0.0037625,           0.0037625
                  27,            0.024532,          0.00068347,                   0,           0.0046231,             0.53241,            0.099495,            0.035618,            0.024269,          0.00058124,                   0,            0.003713,            0.003713,            0.003713
                  28,            0.024881,          0.00068957,                   0,           0.0043975,             0.53372,             0.10121,            0.037579,            0.024188,          0.00058044,                   0,           0.0036635,           0.0036635,           0.0036635
